Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2126.398	-2281.317	154.9185	1.07273	0.3998115	0.538668	0.461332	3.005285
6	-2123.987	-2279.633	155.6452	1.243327	0.3465341	0.538668	0.461332	2.523069
12	-2125.54	-2281.266	155.726	1.322828	0.3438168	0.603479	0.396521	2.426223
18	-2130.292	-2282.803	152.5111	0.9505728	0.3617161	0.612999	0.387001	4.511139
24	-2141.385	-2295.089	153.7034	1.044017	0.2154718	0.604423	0.395577	3.982307
30	-2131.339	-2285.991	154.6524	1.225721	0.3707061	0.589609	0.410391	3.107359
36	-2141.451	-2295.749	154.2983	1.211226	0.4239508	0.688297	0.311703	3.264752
42	-2132.355	-2286.883	154.5279	1.243878	0.359685	0.534325	0.465675	3.183992
48	-2125.615	-2280.095	154.4802	1.253878	0.4695698	0.649423	0.350577	3.083034
54	-2130.321	-2283.705	153.3844	0.8810985	0.3183786	0.571824	0.428176	4.109143
60	-2138.309	-2291.077	152.7681	0.8793669	0.3769314	0.571824	0.428176	4.389048
66	-2143.443	-2295.784	152.341	0.9763054	0.3636288	0.491872	0.508128	4.590046
72	-2141.941	-2294.769	152.8281	0.9763054	0.274583	0.639645	0.360355	4.428579
78	-2147.318	-2299.234	151.9157	0.7769053	0.4503394	0.625361	0.374639	4.846826
84	-2150.732	-2304.15	153.4176	1.030519	0.5062499	0.591051	0.408949	3.799683
90	-2146.473	-2300.038	153.565	1.073486	0.4213547	0.597753	0.402247	3.77531
96	-2136.795	-2290.635	153.84	1.302652	0.4398929	0.597753	0.402247	3.463076
102	-2131.621	-2285.981	154.3592	1.09908	0.2874055	0.665813	0.334187	3.463076
108	-2142.835	-2294.806	151.9701	1.071878	0.3565443	0.546528	0.453472	4.752366
114	-2138.018	-2289.825	151.8066	0.8135377	0.3565443	0.626827	0.373173	4.987439
120	-2129.547	-2281.279	151.7323	0.9315841	0.2185891	0.656988	0.343012	5.148013
126	-2144.668	-2297.008	152.3392	0.8947812	0.2973246	0.500888	0.499112	4.718086
132	-2131.485	-2284.505	153.0197	1.006673	0.2973246	0.634796	0.365204	4.272304
